"Название события","Комментарий к событию","Количество клиентских событий","Количество клиентских событий","Количество устройств, достигших клиентского события","Количество устройств, достигших клиентского события","Событий на устройство","Процент устройств, достигших клиентского события"
"Итого и средние","","1173","1.0","9","1.0","78.2","0.6"
"Chat_Send_Message","Не определено","52","0.044330775788576304","3","0.33333333333333337","3.466666666666667","0.2"
"Nav_Product_shelf","Не определено","45","0.03836317135549872","7","0.7777777777777777","3.0","0.4666666666666666"
"Nav_Main","Не определено","42","0.03580562659846547","6","0.6666666666666667","2.8","0.4"
"Auth_Request_new_otp","Не определено","38","0.03239556692242114","8","0.8888888888888888","2.533333333333333","0.5333333333333333"
"Auth_Enter_otp_success","Не определено","36","0.030690537084398978","8","0.8888888888888888","2.4","0.5333333333333333"
"Nav_Profile","Не определено","35","0.029838022165387893","7","0.7777777777777777","2.3333333333333335","0.4666666666666666"
"Auth_App_Open","Не определено","34","0.028985507246376812","9","1.0","2.2666666666666666","0.6"
"Auth_Enter_access_code","Не определено","29","0.0247229326513214","8","0.8888888888888888","1.9333333333333333","0.5333333333333333"
"Auth_Signup_completed","Не определено","29","0.0247229326513214","8","0.8888888888888888","1.9333333333333333","0.5333333333333333"
"Auth_Enter_surname","Не определено","26","0.022165387894288152","8","0.8888888888888888","1.7333333333333334","0.5333333333333333"
"Auth_Signup_start","Не определено","21","0.017902813299232736","6","0.6666666666666667","1.4","0.4"
"Profile_Logout","Не определено","16","0.013640238704177323","6","0.6666666666666667","1.0666666666666667","0.4"
"Auth_Biometrics_declined","Не определено","14","0.011935208866155157","4","0.4444444444444444","0.9333333333333333","0.26666666666666666"
"Purchase_IFL_To_Step_2_Risk","Не определено","14","0.011935208866155157","5","0.5555555555555556","0.9333333333333333","0.33333333333333326"
"Purchase_Sport_FastDays_Tap","Не определено","13","0.011082693947144076","2","0.2222222222222222","0.8666666666666667","0.13333333333333333"
"Main_View_sub","Не определено","12","0.010230179028132993","4","0.4444444444444444","0.8","0.26666666666666666"
"Manage_View_Sub","Не определено","12","0.010230179028132993","4","0.4444444444444444","0.8","0.26666666666666666"
"Purchase_IFL_To_Step_3_AddRisk","Не определено","11","0.009377664109121909","4","0.4444444444444444","0.7333333333333333","0.26666666666666666"
"Chat_Start","Не определено","10","0.008525149190110827","4","0.4444444444444444","0.6666666666666666","0.26666666666666666"
"Manage_Change_Sub","Не определено","10","0.008525149190110827","3","0.33333333333333337","0.6666666666666666","0.2"
"Purchase_IFL_Start","Не определено","10","0.008525149190110827","5","0.5555555555555556","0.6666666666666666","0.33333333333333326"
"Purchase_IFL_To_Step_1_Address","Не определено","10","0.008525149190110827","5","0.5555555555555556","0.6666666666666666","0.33333333333333326"
"Purchase_IFL_To_Step_6_Yourdata","Не определено","10","0.008525149190110827","5","0.5555555555555556","0.6666666666666666","0.33333333333333326"
"Purchase_IFL_To_Step_4_Coverage","Не определено","9","0.0076726342710997444","4","0.4444444444444444","0.6","0.26666666666666666"
"Purchase_VZR_Start","Не определено","9","0.0076726342710997444","3","0.33333333333333337","0.6","0.2"
"Purchase_VZR_Start_Open","Не определено","9","0.0076726342710997444","3","0.33333333333333337","0.6","0.2"
"Exception_Error_Message","Не определено","8","0.0068201193520886615","4","0.4444444444444444","0.5333333333333333","0.26666666666666666"
"Nav_Requests","Не определено","8","0.0068201193520886615","2","0.2222222222222222","0.5333333333333333","0.13333333333333333"
"Purchase_Flat_Risk_Open","Не определено","8","0.0068201193520886615","5","0.5555555555555556","0.5333333333333333","0.33333333333333326"
"Purchase_Flat_To_Step_Risk","Не определено","8","0.0068201193520886615","5","0.5555555555555556","0.5333333333333333","0.33333333333333326"
"Purchase_Sport_Start","Не определено","8","0.0068201193520886615","3","0.33333333333333337","0.5333333333333333","0.2"
"Purchase_Sport_Start_Open","Не определено","8","0.0068201193520886615","3","0.33333333333333337","0.5333333333333333","0.2"
"Purchase_VZR_To_Step_2","Не определено","8","0.0068201193520886615","3","0.33333333333333337","0.5333333333333333","0.2"
"Manage_Cancel_Reason_Sub","Не определено","7","0.005967604433077579","2","0.2222222222222222","0.4666666666666667","0.13333333333333333"
"Purchase_IFL_To_Step_5_Period","Не определено","7","0.005967604433077579","4","0.4444444444444444","0.4666666666666667","0.26666666666666666"
"Purchase_IFL_To_Step_7_Confirm","Не определено","7","0.005967604433077579","4","0.4444444444444444","0.4666666666666667","0.26666666666666666"
"Purchase_Sport_To_Step_Type","Не определено","7","0.005967604433077579","3","0.33333333333333337","0.4666666666666667","0.2"
"Purchase_Sport_Types_Open","Не определено","7","0.005967604433077579","3","0.33333333333333337","0.4666666666666667","0.2"
"Purchase_VZR_To_Step_1","Не определено","7","0.005967604433077579","3","0.33333333333333337","0.4666666666666667","0.2"
"Purchase_VZR_Yourdata_Open","Не определено","7","0.005967604433077579","3","0.33333333333333337","0.4666666666666667","0.2"
"Auth_Enter_without_signup","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
