"Название события","Комментарий к событию","Количество клиентских событий","Количество клиентских событий","Количество устройств, достигших клиентского события","Количество устройств, достигших клиентского события","Событий на устройство","Процент устройств, достигших клиентского события"
"Итого и средние","","1198","1.0","5","1.0","239.6","1.0"
"Chat_Send_Message","Не определено","114","0.09515859766277128","3","0.6","22.8","0.6"
"Auth_App_Open","Не определено","49","0.04090150250417362","5","1.0","9.8","1.0"
"Nav_Profile","Не определено","38","0.0317195325542571","5","1.0","7.6","1.0"
"Nav_Main","Не определено","29","0.024207011686143573","4","0.8","5.8","0.8"
"Auth_Request_new_otp","Не определено","27","0.022537562604340568","5","1.0","5.4","1.0"
"Nav_Product_shelf","Не определено","26","0.02170283806343907","4","0.8","5.2","0.8"
"Auth_Enter_otp_success","Не определено","25","0.020868113522537562","5","1.0","5.0","1.0"
"Auth_Enter_access_code","Не определено","23","0.019198664440734557","5","1.0","4.6","1.0"
"Auth_Signup_completed","Не определено","23","0.019198664440734557","5","1.0","4.6","1.0"
"Auth_Biometrics_declined","Не определено","21","0.017529215358931552","5","1.0","4.2","1.0"
"Main_View_sub","Не определено","21","0.017529215358931552","4","0.8","4.2","0.8"
"Manage_View_Sub","Не определено","21","0.017529215358931552","4","0.8","4.2","0.8"
"Exception_Error_Message","Не определено","20","0.01669449081803005","3","0.6","4.0","0.6"
"Manage_Ok_Cancelled_Sub","Не определено","20","0.01669449081803005","2","0.4","4.0","0.4"
"Purchase_Sport_Count_Open","Не определено","20","0.01669449081803005","2","0.4","4.0","0.4"
"Chat_Start","Не определено","17","0.014190317195325543","3","0.6","3.4","0.6"
"Auth_Signup_start","Не определено","16","0.01335559265442404","5","1.0","3.2","1.0"
"Auth_Enter_surname","Не определено","14","0.011686143572621035","4","0.8","2.8","0.8"
"Manage_Cancel_Sub","Не определено","14","0.011686143572621035","2","0.4","2.8","0.4"
"Manage_Cancel_Reason_Sub","Не определено","13","0.010851419031719534","2","0.4","2.6","0.4"
"Manage_Confirm_Cancel_Sub","Не определено","13","0.010851419031719534","2","0.4","2.6","0.4"
"Purchase_Sport_FastDays_Tap","Не определено","13","0.010851419031719534","1","0.2","2.6","0.2"
"Profile_Logout","Не определено","12","0.01001669449081803","4","0.8","2.4","0.8"
"Purchase_IFL_Start","Не определено","11","0.009181969949916527","4","0.8","2.2","0.8"
"Purchase_Sport_Days_Open","Не определено","10","0.008347245409015025","2","0.4","2.0","0.4"
"Purchase_Sport_To_Days","Не определено","10","0.008347245409015025","2","0.4","2.0","0.4"
"Auth_User_Agreement_Accept","Не определено","9","0.007512520868113523","5","1.0","1.8","1.0"
"Purchase_IFL_To_Step_1_Address","Не определено","9","0.007512520868113523","4","0.8","1.8","0.8"
"Purchase_Sport_Types_Open","Не определено","9","0.007512520868113523","2","0.4","1.8","0.4"
"Purchase_Flat_Start_Open","Не определено","8","0.00667779632721202","4","0.8","1.6","0.8"
"Purchase_IFL_To_Step_3_AddRisk","Не определено","8","0.00667779632721202","3","0.6","1.6","0.6"
"Purchase_IFL_To_Step_4_Coverage","Не определено","8","0.00667779632721202","3","0.6","1.6","0.6"
"Purchase_Sport_Cover_Open","Не определено","8","0.00667779632721202","2","0.4","1.6","0.4"
"Purchase_Sport_To_Step_Count","Не определено","8","0.00667779632721202","2","0.4","1.6","0.4"
"Auth_Enter_otp_fail","Не определено","7","0.005843071786310518","2","0.4","1.4","0.4"
"Auth_Enter_without_signup","Не определено","7","0.005843071786310518","4","0.8","1.4","0.8"
"Purchase_Flat_Map_Open","Не определено","7","0.005843071786310518","4","0.8","1.4","0.8"
"Purchase_House_Start_Open","Не определено","7","0.005843071786310518","3","0.6","1.4","0.6"
"Purchase_IFL_To_Step_2_Risk","Не определено","7","0.005843071786310518","3","0.6","1.4","0.6"
"Purchase_IFL_To_Step_5_Period","Не определено","7","0.005843071786310518","3","0.6","1.4","0.6"
"Purchase_IFL_To_Step_6_Yourdata","Не определено","7","0.005843071786310518","4","0.8","1.4","0.8"
"Purchase_Pet_Start_Open","Не определено","7","0.005843071786310518","2","0.4","1.4","0.4"
"Purchase_Sport_To_Step_Coverage","Не определено","7","0.005843071786310518","2","0.4","1.4","0.4"
"Manage_Change_Sub","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Nav_Requests","Не определено","6","0.005008347245409015","1","0.2","1.2","0.2"
"Purchase_Flat_Addrisk_Open","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Purchase_Flat_Start","Не определено","6","0.005008347245409015","4","0.8","1.2","0.8"
"Purchase_Flat_To_Step_Address","Не определено","6","0.005008347245409015","4","0.8","1.2","0.8"
"Purchase_IFL_Payment_Success","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Purchase_IFL_To_Step_7_Confirm","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Purchase_IFL_To_Step_8_Docs","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Purchase_IFL_To_Step_9_Pay","Не определено","6","0.005008347245409015","3","0.6","1.2","0.6"
"Purchase_Mite_Start","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Mite_Start_Open","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Sport_Data_Open","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Sport_Start","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Sport_Start_Open","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Sport_To_Step_Type","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"SmthWentWrong","Не определено","6","0.005008347245409015","2","0.4","1.2","0.4"
"Purchase_Flat_To_Step_AddRisk","Не определено","5","0.004173622704507512","3","0.6","1.0","0.6"
"Purchase_House_Start","Не определено","5","0.004173622704507512","3","0.6","1.0","0.6"
"Purchase_Mite_Confirm_Open","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_Data_Open","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_Docs_Open","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_Pay_Open","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_To_Step_Confirm","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_To_Step_Data","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_To_Step_Docs","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
